"","Squad","Comp","Player","Nation","Pos","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","PK_Standard","PKatt_Standard","FK_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np.G_minus_xG_Expected"
"728","Cádiz","La Liga","Chris Ramos","ESP","FW",24,57,78,62,13,97,75,35,42,22,89,87,77,75,77,63,6,6
"729","Cádiz","La Liga","Fede San Emeterio","ESP","MF",61,31,17,18,17,4,3,32,32,59,89,87,77,10,10,18,52,53
"730","Cádiz","La Liga","Rubén Sobrino","ESP","MF,FW",80,77,79,81,63,49,55,57,54,22,89,87,77,87,89,91,6,6
"732","Dortmund","Bundesliga","Karim Adeyemi","GER","FW,MF",49,91,83,86,63,81,82,81,78,54,89,94,77,87,86,77,85,92
"733","Dortmund","Bundesliga","Jude Bellingham","ENG","MF",90,94,96,95,55,77,75,66,59,59,95,94,91,95,95,71,52,41
"734","Dortmund","Bundesliga","Julian Brandt","GER","MF,FW",81,95,87,96,94,60,84,91,69,59,89,87,87,87,89,77,99,99
"735","Dortmund","Bundesliga","Jamie Bynoe-Gittens","ENG","FW,MF",18,77,68,79,79,97,98,74,55,56,89,87,77,68,70,63,78,78
"736","Dortmund","Bundesliga","Emre Can","GER","MF",66,70,49,32,5,28,9,49,90,84,95,94,77,56,36,28,72,67
"738","Dortmund","Bundesliga","Mahmoud Dahoud","GER","MF",11,31,22,18,11,61,37,32,32,96,89,87,87,19,19,37,41,41
"740","Dortmund","Bundesliga","Raphaël Guerreiro","POR","DF,MF",77,83,80,86,74,52,62,69,58,71,89,87,97,72,74,47,89,89
"741","Dortmund","Bundesliga","Sébastien Haller","CIV","FW",42,95,80,92,93,82,94,95,80,5,89,94,77,95,95,98,78,89
"742","Dortmund","Bundesliga","Thorgan Hazard","BEL","FW,DF",15,31,28,41,63,59,64,32,32,28,89,87,77,49,50,93,13,13
"743","Dortmund","Bundesliga","Mats Hummels","GER","DF",70,57,54,41,11,30,16,45,68,6,89,87,77,65,67,82,15,15
"745","Dortmund","Bundesliga","Donyell Malen","NED","FW",60,95,95,98,81,95,96,77,59,41,89,87,93,96,97,88,57,58
"748","Dortmund","Bundesliga","Anthony Modeste","FRA","FW",28,70,66,77,76,85,89,57,46,9,89,87,77,83,86,96,4,4
"749","Dortmund","Bundesliga","Youssoufa Moukoko","GER","FW",40,93,82,92,91,89,95,90,70,32,89,87,77,91,93,95,78,78
"751","Dortmund","Bundesliga","Salih Özcan","TUR","MF",55,31,9,18,52,2,5,32,32,4,89,87,77,27,28,96,31,31
"755","Dortmund","Bundesliga","Marco Reus","GER","MF,FW",47,91,82,77,34,81,69,77,90,47,95,94,97,87,86,77,84,80
"756","Dortmund","Bundesliga","Gio Reyna","USA","FW,MF",20,93,68,79,79,95,96,95,90,35,95,94,87,83,82,91,97,96
"758","Dortmund","Bundesliga","Julian Ryerson","NOR","DF",50,57,35,41,39,24,27,61,68,85,89,87,77,23,24,18,75,75
"759","Dortmund","Bundesliga","Nico Schlotterbeck","GER","DF",76,83,56,62,52,28,34,92,94,50,89,87,77,56,57,56,96,96
"760","Dortmund","Bundesliga","Niklas Süle","GER","DF",73,70,80,67,18,55,41,45,58,52,89,87,77,65,67,37,52,53
"761","Dortmund","Bundesliga","Marius Wolf","GER","DF",55,57,66,62,29,52,45,38,42,69,89,87,77,47,48,18,52,53
"762","Eint Frankfurt","Bundesliga","Paxten Aaronson","USA","MF,DF",5,31,13,18,28,73,60,32,32,64,89,87,77,10,10,10,52,53
"763","Eint Frankfurt","Bundesliga","Lucas Alario","ARG","FW,MF",11,57,39,49,59,92,88,57,54,31,89,87,77,52,53,82,41,41
"765","Eint Frankfurt","Bundesliga","Rafael Borré","COL","MF,FW",37,70,68,67,37,71,64,38,38,21,95,94,77,82,80,86,5,4
"766","Eint Frankfurt","Bundesliga","Aurélio Buta","POR","DF",45,77,32,49,78,22,37,98,94,48,89,87,77,27,28,37,96,96
"768","Eint Frankfurt","Bundesliga","Junior Dina Ebimbe","FRA","DF,MF",36,77,71,77,65,77,79,69,59,30,89,87,77,80,83,86,27,27
"770","Eint Frankfurt","Bundesliga","Mario Götze","GER","MF",91,77,71,67,31,35,33,69,78,46,89,87,77,77,79,77,52,53
"772","Eint Frankfurt","Bundesliga","Kristijan Jakić","CRO","DF,MF",52,57,28,49,90,15,35,74,54,55,89,87,77,31,32,56,70,70
"773","Eint Frankfurt","Bundesliga","Daichi Kamada","JPN","MF",76,95,87,79,31,62,54,79,90,47,98,98,95,97,95,95,21,10
"774","Eint Frankfurt","Bundesliga","Ansgar Knauff","GER","DF",45,57,49,67,81,44,59,49,38,70,89,87,77,38,39,28,63,64
"775","Eint Frankfurt","Bundesliga","Randal Kolo Muani","FRA","FW",88,99,97,98,70,85,87,85,78,20,97,96,77,99,99,91,93,90
"777","Eint Frankfurt","Bundesliga","Christopher Lenz","GER","DF",45,31,42,32,11,34,18,32,32,89,89,87,87,27,28,18,31,31
"778","Eint Frankfurt","Bundesliga","Jesper Lindstrøm","DEN","MF,FW",59,93,88,92,73,82,86,81,70,61,89,87,95,89,91,82,86,86
"779","Eint Frankfurt","Bundesliga","Philipp Max","GER","DF",23,31,32,41,52,48,50,32,32,61,89,87,91,31,32,47,27,27
"780","Eint Frankfurt","Bundesliga","Obite N'Dicka","FRA","DF",90,57,54,41,11,20,11,45,68,18,89,87,77,52,53,47,41,41
"781","Eint Frankfurt","Bundesliga","Luca Pellegrini","ITA","DF",18,31,47,32,7,78,43,32,32,98,89,87,93,27,28,10,31,31
"783","Eint Frankfurt","Bundesliga","Sebastian Rode","GER","MF",50,83,32,49,78,20,35,98,100,64,89,87,77,38,39,63,98,98
"785","Eint Frankfurt","Bundesliga","Djibril Sow","SUI","MF",88,83,74,77,57,40,45,77,75,93,89,87,77,58,59,28,95,95
"786","Eint Frankfurt","Bundesliga","Almamy Touré","MLI","DF",13,31,9,18,52,26,33,32,32,26,89,87,77,23,24,93,35,35
"788","Eint Frankfurt","Bundesliga","Tuta","BRA","DF",90,70,54,41,11,19,11,69,94,51,89,87,77,66,69,82,45,46
"792","Elche","La Liga","Pedro Bigas","ESP","DF",70,31,64,70,59,41,47,32,32,38,89,87,77,61,63,56,7,6
"793","Elche","La Liga","Lautaro Blanco","ARG","DF,MF",27,31,3,18,100,1,14,32,32,82,89,87,77,1,1,4,61,61
"794","Elche","La Liga","Lucas Boyé","ARG","FW",80,91,96,90,30,86,70,57,68,28,89,94,87,93,94,63,8,20
"795","Elche","La Liga","Carmona","ESP","MF,DF",19,57,17,41,94,30,56,90,68,58,89,87,77,19,19,47,78,78
"797","Elche","La Liga","Carlos Clerc","ESP","DF,MF",88,31,32,41,52,6,11,32,32,58,89,87,77,27,28,28,31,31
"798","Elche","La Liga","Álex Collado","ESP","MF",24,57,54,62,56,75,74,45,42,87,89,87,77,27,28,10,72,72
"800","Elche","La Liga","Nicolás Ezequiel Fernández","ARG","MF,DF",17,31,17,32,70,36,46,32,32,31,89,87,77,19,19,47,41,41
"802","Elche","La Liga","Fidel","ESP","MF,FW",57,77,42,32,11,25,13,85,100,38,95,94,77,65,53,77,83,78
"804","Elche","La Liga","Gerard Gumbau","ESP","MF",88,57,89,90,66,59,66,32,32,95,89,87,97,66,69,18,13,13
"805","Elche","La Liga","Raúl Guti","ESP","MF",39,31,60,70,70,61,67,32,32,65,89,87,77,56,57,47,9,8
"806","Elche","La Liga","Josan","ESP","DF,MF",34,57,22,41,90,19,37,85,68,28,89,87,77,19,19,37,78,78
"807","Elche","La Liga","Pol Lirola","ESP","DF",21,57,3,18,100,1,18,100,100,7,89,87,77,10,10,97,83,82
"808","Elche","La Liga","Lisandro Magallán","ARG","DF",28,31,17,18,17,19,13,32,32,6,89,87,77,27,28,77,31,31
"809","Elche","La Liga","Roger Martí","ESP","FW",22,31,22,32,52,33,37,32,32,38,89,87,77,27,28,56,31,31
"810","Elche","La Liga","Omar Mascarell","ESP","MF,DF",83,31,32,41,52,7,13,32,32,84,89,87,87,19,19,18,41,41
"811","Elche","La Liga","Pere Milla","ESP","FW,MF",63,91,79,67,19,59,45,57,78,31,98,98,87,88,77,56,80,61
"813","Elche","La Liga","Tete Morente","ESP","MF,DF",68,83,88,83,38,71,65,57,60,46,89,87,77,79,81,47,78,78
"814","Elche","La Liga","Randy Ntekja","FRA","FW",21,31,42,41,28,63,53,32,32,23,89,87,77,47,48,63,15,15
"815","Elche","La Liga","Helibelton Palacios","COL","DF",66,31,13,41,97,2,18,32,32,25,89,87,77,19,19,56,41,41
"817","Elche","La Liga","Ezequiel Ponce","ARG","FW",39,83,75,74,41,80,72,77,78,19,89,87,77,80,82,77,72,72
"819","Elche","La Liga","Enzo Roco","CHI","DF",56,31,35,41,39,20,23,32,32,6,89,87,77,27,28,28,31,31
"820","Elche","La Liga","Gonzalo Verdú","ESP","DF",23,57,28,32,28,44,36,74,90,15,89,87,87,27,28,37,72,72
"822","Empoli","Serie A","Jean-Daniel Akpa-Akpro","CIV","MF,FW",44,57,45,55,65,38,47,53,46,74,89,87,77,52,53,71,41,41
"823","Empoli","Serie A","Nedim Bajrami","ALB","MF,FW",32,57,62,67,52,71,69,42,38,91,89,87,97,47,48,28,52,53
"824","Empoli","Serie A","Tommaso Baldanzi","ITA","MF",61,83,80,81,59,63,66,69,68,73,89,87,77,68,70,37,92,91
"825","Empoli","Serie A","Filippo Bandinelli","ITA","MF",74,70,68,67,37,41,40,53,58,89,89,87,77,58,59,37,70,70
"826","Empoli","Serie A","Liberato Cacace","NZL","DF",16,31,22,18,11,46,25,32,32,75,89,87,77,23,24,56,35,35
"827","Empoli","Serie A","Nicolò Cambiaghi","ITA","FW,MF",42,91,79,83,70,81,84,88,79,52,89,87,77,78,80,63,97,97
"828","Empoli","Serie A","Francesco Caputo","ITA","FW",60,87,85,87,63,74,76,53,46,18,97,96,77,93,91,91,3,2
"831","Empoli","Serie A","Mattia Destro","ITA","FW,MF",18,57,60,67,55,94,90,42,38,32,89,87,77,52,53,37,41,41
"832","Empoli","Serie A","Tyronne Ebuehi","NGA","DF",66,70,58,49,18,37,27,66,90,8,89,87,77,79,81,95,11,11
"834","Empoli","Serie A","Jacopo Fazzini","ITA","MF",25,31,47,18,1,64,14,32,32,77,89,87,87,41,42,37,19,18
"835","Empoli","Serie A","Alberto Grassi","ITA","MF",40,31,32,41,52,28,34,32,32,38,89,87,77,23,24,28,35,35
"836","Empoli","Serie A","Nicolas Haas","SUI","MF",40,57,28,41,63,23,34,74,68,46,89,87,77,47,48,88,52,53
"837","Empoli","Serie A","Liam Henderson","SCO","MF",33,31,42,55,73,46,56,32,32,89,89,87,87,23,24,10,35,35
"838","Empoli","Serie A","Ardian Ismajli","ALB","DF",72,31,32,32,21,10,9,32,32,13,89,87,77,31,32,47,27,27
"839","Empoli","Serie A","Sam Lammers","NED","FW",30,57,74,67,28,90,72,38,38,38,89,87,77,66,69,47,13,13
"840","Empoli","Serie A","Sebastiano Luperto","ITA","DF",97,70,56,49,21,17,14,66,90,18,89,87,77,47,48,37,83,82
"841","Empoli","Serie A","Răzvan Marin","ROU","MF",86,70,80,70,23,48,38,45,54,98,89,87,99,52,53,10,78,78
"843","Empoli","Serie A","Fabiano Parisi","ITA","DF",93,70,62,32,2,26,5,61,100,82,89,87,77,60,62,56,66,67
"845","Empoli","Serie A","Roberto Piccoli","ITA","FW",14,70,42,62,90,83,92,85,68,38,89,87,77,49,50,63,80,80
"846","Empoli","Serie A","Marko Pjaca","CRO","MF,FW",17,31,49,32,5,86,45,32,32,69,89,87,77,31,32,10,27,27
"847","Empoli","Serie A","Martin Satriano","URU","FW",59,70,84,77,30,72,61,42,46,36,89,87,77,81,84,63,7,6
"848","Empoli","Serie A","Petar Stojanović","SVN","DF",51,31,35,32,17,23,14,32,32,94,89,87,87,14,14,4,45,46
"851","Empoli","Serie A","Emanuel Vignato","ITA","MF,FW",2,57,6,18,90,93,96,99,100,70,89,87,77,10,10,63,83,82
"852","Empoli","Serie A","Sebastian Walukiewicz","POL","DF",17,31,6,18,90,8,25,32,32,1,89,87,77,14,14,93,45,46
"853","Espanyol","La Liga","Keidi Bare","ALB","MF",15,31,17,41,94,40,63,32,32,58,89,87,77,27,28,77,31,31
"855","Espanyol","La Liga","Martin Braithwaite","DEN","FW,MF",80,96,94,96,75,77,83,85,75,42,89,87,95,96,97,91,84,84
"856","Espanyol","La Liga","Leandro Cabrera","URU","DF",89,31,66,62,29,31,28,32,32,9,89,87,77,66,69,63,4,4
"857","Espanyol","La Liga","Fernando Calero","ESP","DF,MF",55,31,25,32,37,11,13,32,32,3,89,87,77,31,32,63,27,27
"858","Espanyol","La Liga","José Carlos Lazo","ESP","MF,FW",5,57,13,18,28,78,63,95,100,79,89,87,87,10,10,28,83,82
"859","Espanyol","La Liga","Sergi Darder","ESP","MF",99,91,82,79,40,41,41,85,90,87,89,87,77,78,80,56,97,97
"861","Espanyol","La Liga","Edu Expósito","ESP","MF",38,70,56,67,66,56,63,66,58,93,89,87,91,38,39,18,86,86
"863","Espanyol","La Liga","Óscar Gil","ESP","DF",85,31,39,32,12,10,7,32,32,65,89,87,77,27,28,18,31,31
"865","Espanyol","La Liga","Sergi Gómez","ESP","DF",79,31,32,49,78,8,20,32,32,19,89,87,77,38,39,63,21,20
"866","Espanyol","La Liga","José Gragera","ESP","MF,DF",15,57,13,18,28,31,28,95,100,11,89,87,77,31,32,98,70,70
"868","Espanyol","La Liga","Joselu","ESP","FW",96,99,99,99,63,86,85,74,68,43,99,99,91,99,98,77,91,75
"873","Espanyol","La Liga","César Montes","MEX","DF",53,77,45,62,80,31,47,92,90,19,89,87,77,38,39,37,95,95
"874","Espanyol","La Liga","Brian Oliván","ESP","DF",78,57,42,41,28,15,14,53,68,94,89,87,87,23,24,10,75,75
"878","Espanyol","La Liga","Javi Puado","ESP","FW,MF",76,91,93,94,64,77,78,66,58,28,89,87,77,93,95,86,8,8
"879","Espanyol","La Liga","Nico Ribaudo","ESP","MF,FW",41,57,79,77,42,83,75,35,34,73,89,87,93,80,83,77,2,2
"881","Espanyol","La Liga","Vinicius Souza","BRA","MF",82,57,35,49,70,9,20,61,54,82,89,87,77,35,36,47,66,67
"882","Espanyol","La Liga","Denis Suárez","ESP","MF,FW",29,31,13,32,90,12,30,32,32,69,89,87,77,23,24,77,35,35
"884","Espanyol","La Liga","Aleix Vidal","ESP","MF,FW",35,31,9,32,96,4,25,32,32,54,89,87,77,5,5,10,57,58
"887","Everton","Premier League","Dominic Calvert-Lewin","ENG","FW",41,70,77,74,39,80,71,35,35,12,95,94,77,89,89,93,1,1
"888","Everton","Premier League","Thomas Cannon","IRL","FW",1,31,3,18,100,96,99,32,32,7,89,87,77,5,5,56,57,58
"889","Everton","Premier League","Conor Coady","ENG","DF",72,57,13,32,90,2,9,95,90,2,89,87,77,35,36,98,66,67
"890","Everton","Premier League","Séamus Coleman","IRL","DF",58,57,25,32,37,9,13,77,90,82,89,87,77,19,19,18,78,78
"891","Everton","Premier League","Tom Davies","ENG","MF",18,31,32,32,21,58,44,32,32,39,89,87,77,47,48,82,15,15
"892","Everton","Premier League","Abdoulaye Doucouré","MLI","MF",54,87,60,70,70,48,57,95,92,22,89,87,77,68,70,77,96,96
"893","Everton","Premier League","Idrissa Gana Gueye","SEN","MF",87,31,49,62,70,17,30,32,32,94,89,87,87,31,32,18,27,27
"894","Everton","Premier League","James Garner","ENG","MF,DF",28,31,32,41,52,42,45,32,32,84,89,87,87,35,36,47,24,23
"896","Everton","Premier League","Anthony Gordon","ENG","FW",38,77,71,88,94,75,94,69,43,47,89,87,87,78,80,82,45,46
"897","Everton","Premier League","Demarai Gray","ENG","FW,MF",85,83,93,94,65,72,76,38,34,69,97,96,98,90,87,47,4,2
"899","Everton","Premier League","Alex Iwobi","NGA","MF,FW",100,70,87,87,57,47,51,42,36,78,89,87,77,70,72,28,35,35
"900","Everton","Premier League","Michael Keane","ENG","DF",34,57,47,49,37,51,48,49,54,19,89,87,77,49,50,63,45,46
"901","Everton","Premier League","Neal Maupay","FRA","FW",39,57,79,83,70,86,87,35,33,28,89,87,77,85,88,88,1,1
"902","Everton","Premier League","Dwight McNeil","ENG","FW,MF",85,93,89,87,44,62,61,79,80,75,89,87,87,79,82,47,99,99
"903","Everton","Premier League","Yerry Mina","COL","DF",20,70,28,49,90,49,66,95,90,2,89,87,77,54,55,95,75,75
"904","Everton","Premier League","Vitaliy Mykolenko","UKR","DF",88,31,35,41,39,7,11,32,32,74,89,87,77,23,24,18,35,35
"905","Everton","Premier League","Amadou Onana","BEL","MF",84,57,81,62,11,50,31,35,42,49,89,87,77,75,77,56,6,6
"906","Everton","Premier League","Nathan Patterson","SCO","DF,MF",44,31,28,18,5,19,7,32,32,60,89,87,77,23,24,28,35,35
"909","Everton","Premier League","Salomón Rondón","VEN","FW",3,31,13,18,28,94,78,32,32,68,89,87,77,35,36,97,24,23
"910","Everton","Premier League","Ellis Simms","ENG","FW",7,57,28,18,5,93,50,74,100,43,89,87,77,38,39,71,63,64
"911","Everton","Premier League","James Tarkowski","ENG","DF",100,57,79,74,34,34,34,35,35,3,89,87,77,76,78,63,5,5
"913","Fiorentina","Serie A","Sofyan Amrabat","MAR","MF",66,31,45,49,41,22,27,32,32,97,89,87,77,23,24,10,35,35
"914","Fiorentina","Serie A","Arthur","BRA","FW",46,93,90,89,56,93,90,61,58,17,97,96,77,92,91,77,52,27
"915","Fiorentina","Serie A","Antonín Barák","CZE","MF",62,70,79,67,19,61,46,45,58,56,89,87,77,71,73,47,31,31
"917","Fiorentina","Serie A","Alessandro Bianco","ITA","MF",4,31,6,18,90,50,66,32,32,95,89,87,77,5,5,4,57,58
"918","Fiorentina","Serie A","Cristiano Biraghi","ITA","DF",86,70,68,55,17,35,25,53,75,98,89,94,100,60,45,10,66,84
"919","Fiorentina","Serie A","Giacomo Bonaventura","ITA","MF",65,87,90,86,37,80,69,61,70,69,89,87,91,83,86,56,80,80
"921","Fiorentina","Serie A","Gaetano Castrovilli","ITA","MF",21,70,52,67,76,79,85,74,58,55,89,87,77,44,45,37,84,84
"923","Fiorentina","Serie A","Dodô","BRA","DF",76,57,39,49,59,13,22,57,54,75,89,87,77,31,32,28,70,70
"924","Fiorentina","Serie A","Alfred Duncan","GHA","MF",36,57,32,32,21,31,23,66,90,91,89,87,77,23,24,18,75,75
"926","Fiorentina","Serie A","Nicolás González","ARG","FW,MF",46,87,93,88,37,97,88,42,43,55,97,96,77,91,89,56,13,6
"928","Fiorentina","Serie A","Jonathan Ikone","FRA","FW",67,83,89,70,11,76,48,57,90,48,89,87,77,81,83,47,66,67
"929","Fiorentina","Serie A","Luka Jović","SRB","FW,MF",54,91,93,92,53,94,89,66,61,22,89,94,77,94,94,82,7,16
"930","Fiorentina","Serie A","Christian Kouamé","CIV","FW",62,83,87,83,41,73,68,61,60,25,89,87,87,88,90,82,13,13
"932","Fiorentina","Serie A","Rolando Mandragora","ITA","MF",67,70,83,55,5,64,33,42,75,87,89,87,91,54,55,10,75,75
"933","Fiorentina","Serie A","Lucas Martínez Quarta","ARG","DF",72,57,71,77,65,47,54,38,34,26,89,87,77,68,70,56,11,11
"934","Fiorentina","Serie A","Nikola Milenković","SRB","DF",73,70,58,55,30,33,30,66,75,4,89,87,77,61,63,63,63,64
"936","Fiorentina","Serie A","Riccardo Saponara","ITA","FW",41,77,82,81,52,88,82,53,54,68,89,87,77,72,74,47,70,70
"938","Fiorentina","Serie A","Riccardo Sottil","ITA","FW",29,31,62,70,64,78,79,32,32,71,89,87,87,41,42,18,19,18
"940","Fiorentina","Serie A","Aleksa Terzić","SRB","DF",29,57,32,32,21,40,30,66,90,92,89,87,77,19,19,10,78,78
"941","Fiorentina","Serie A","Lorenzo Venuti","ITA","DF",31,31,25,49,93,28,51,32,32,84,89,87,77,19,19,28,41,41
"942","Fiorentina","Serie A","Szymon Żurkowski","POL","MF",1,31,6,18,90,99,99,32,32,36,89,87,77,5,5,28,57,58
"943","Freiburg","Bundesliga","Ritsu Doan","JPN","MF,FW",82,87,93,97,82,75,85,57,43,53,89,87,77,92,94,77,6,6
"944","Freiburg","Bundesliga","Maximilian Eggestein","GER","MF",83,57,52,49,28,21,20,45,54,81,89,87,77,38,39,28,63,64
"947","Freiburg","Bundesliga","Matthias Ginter","GER","DF",97,83,62,79,91,23,43,88,70,9,89,87,77,61,63,56,95,95
"948","Freiburg","Bundesliga","Michael Gregoritsch","AUT","FW",74,96,96,99,92,89,96,79,54,30,89,87,87,97,98,88,61,61
"949","Freiburg","Bundesliga","Vincenzo Grifo","ITA","MF,FW",82,99,94,96,75,76,82,77,61,86,100,100,100,97,84,37,99,99
"950","Freiburg","Bundesliga","Manuel Gulde","GER","DF",21,57,6,18,90,5,18,99,100,0,89,87,77,31,32,99,70,70
"951","Freiburg","Bundesliga","Christian Günter","GER","DF,MF",91,57,72,67,29,36,33,38,38,82,89,87,77,47,48,18,52,53
"952","Freiburg","Bundesliga","Nicolas Höfler","GER","MF",93,31,62,49,13,26,16,32,32,32,89,87,77,58,59,47,8,8
"953","Freiburg","Bundesliga","Lucas Höler","GER","FW,MF",53,87,77,87,90,67,81,85,68,28,89,87,77,78,80,71,92,92
"954","Freiburg","Bundesliga","Yannik Keitel","GER","MF",23,31,13,41,97,17,51,32,32,49,89,87,77,10,10,10,52,53
"955","Freiburg","Bundesliga","Lukas Kübler","GER","DF",57,70,32,49,78,15,31,92,90,15,89,87,77,38,39,63,86,86
"956","Freiburg","Bundesliga","Daniel Kyereh","GHA","MF,FW",18,70,39,55,79,66,77,87,75,32,89,87,77,65,67,97,52,53
"957","Freiburg","Bundesliga","Philipp Lienhart","AUT","DF",85,57,54,41,11,22,13,45,68,46,89,87,77,52,53,47,41,41
"958","Freiburg","Bundesliga","Nils Petersen","GER","FW",9,57,32,32,21,91,68,66,90,56,89,87,77,47,48,82,52,53
"960","Freiburg","Bundesliga","Roland Sallai","HUN","MF,FW",34,57,79,79,53,90,85,35,34,54,89,87,77,71,73,47,9,8
"961","Freiburg","Bundesliga","Kevin Schade","GER","FW,MF",5,57,13,18,28,71,59,95,100,34,89,87,77,10,10,28,83,82
"963","Freiburg","Bundesliga","Jonathan Schmid","FRA","DF",1,31,3,18,100,77,98,32,32,25,89,87,77,14,14,99,45,46
"968","Freiburg","Bundesliga","Noah Weißhaupt","GER","MF,DF",14,31,6,18,90,12,30,32,32,29,89,87,77,10,10,47,52,53
"969","Freiburg","Bundesliga","Jeong Woo-yeong","KOR","MF,FW",22,57,45,49,41,67,62,53,54,47,89,87,77,63,65,91,16,16
"970","Fulham","Premier League","Tosin Adarabioyo","ENG","DF",72,57,52,49,28,27,23,45,54,79,89,87,87,31,32,10,70,70
"971","Fulham","Premier League","Tom Cairney","SCO","MF",34,70,62,32,2,69,25,61,100,63,89,87,77,54,55,37,75,75
"972","Fulham","Premier League","Nathaniel Chalobah","ENG","MF",0,31,3,18,100,100,100,32,32,6,89,87,77,5,5,56,57,58
"973","Fulham","Premier League","Issa Diop","FRA","DF",70,57,9,32,96,1,9,98,90,15,89,87,77,14,14,56,80,80
"977","Fulham","Premier League","Daniel James","WAL","FW",20,70,47,41,19,72,54,77,94,20,89,87,77,58,59,77,70,70
"978","Fulham","Premier League","Neeskens Kebano","COD","FW",26,31,32,32,21,44,34,32,32,36,89,87,77,23,24,18,35,35
"981","Fulham","Premier League","Saša Lukić","SRB","MF",13,31,17,18,17,46,31,32,32,97,89,87,77,5,5,1,57,58
"983","Fulham","Premier League","Aleksandar Mitrović","SRB","FW",69,98,99,97,43,97,92,69,70,35,99,100,77,99,97,63,21,90
"985","Fulham","Premier League","João Palhinha","POR","MF",98,77,85,74,22,47,36,53,68,52,89,87,77,74,76,37,63,64
"986","Fulham","Premier League","Andreas Pereira","BRA","MF",90,83,95,94,58,72,74,42,38,80,95,94,99,93,93,71,1,1
"987","Fulham","Premier League","Tim Ream","USA","DF",95,57,9,32,96,0,5,98,90,5,89,87,77,14,14,56,80,80
"988","Fulham","Premier League","Harrison Reed","ENG","MF",94,77,60,67,55,23,31,79,78,73,89,87,77,61,63,56,86,86
"989","Fulham","Premier League","Bobby Reid","JAM","FW,DF",84,83,78,77,44,47,47,74,75,24,89,87,77,81,84,82,63,64
"993","Fulham","Premier League","Manor Solomon","ISR","FW",19,83,39,67,94,65,89,98,91,71,89,87,77,47,48,71,97,97
"995","Fulham","Premier League","Kenny Tete","NED","DF",86,57,45,55,65,14,25,53,46,65,89,87,77,31,32,18,70,70
"996","Fulham","Premier League","Carlos Vinícius","BRA","FW",38,87,62,81,93,64,84,93,76,13,89,87,77,78,80,91,92,92
"997","Fulham","Premier League","Willian","BRA","FW",73,87,87,89,72,65,72,69,58,65,89,87,93,79,81,47,92,91
"998","Fulham","Premier League","Harry Wilson","WAL","FW",38,70,56,49,21,56,44,66,90,42,89,87,87,63,64,71,61,61
"999","Getafe","La Liga","Omar Alderete","PAR","DF",68,57,54,70,81,31,48,45,36,56,89,87,77,27,28,10,72,72
"1000","Getafe","La Liga","Carles Aleñá","ESP","MF",70,70,80,77,39,56,54,45,46,84,89,87,77,66,69,37,45,46
"1001","Getafe","La Liga","Ángel Algobia","ESP","MF",39,31,25,18,7,19,8,32,32,94,89,87,77,14,14,10,45,46
"1002","Getafe","La Liga","Gastón Álvarez","URU","DF",50,70,17,32,70,6,16,98,100,50,89,87,77,23,24,71,91,91
"1006","Getafe","La Liga","Djené","TOG","DF",94,31,32,18,3,5,1,32,32,36,89,87,77,27,28,28,31,31
"1007","Getafe","La Liga","Domingos Duarte","POR","DF",88,31,52,49,28,18,18,32,32,8,89,87,77,49,50,47,13,13
"1008","Getafe","La Liga","Munir El Haddadi","MAR","MF,FW",40,77,79,74,34,84,71,57,68,59,89,87,91,72,74,56,70,70
"1009","Getafe","La Liga","Iglesias","ESP","DF,MF",71,57,60,67,55,36,41,42,38,69,89,87,77,38,39,10,63,64
"1010","Getafe","La Liga","Latasa","ESP","FW",12,57,47,49,37,96,86,49,54,48,89,87,77,38,39,28,63,64
"1011","Getafe","La Liga","Nemanja Maksimović","SRB","MF",68,31,56,67,66,34,43,32,32,27,89,87,77,61,63,71,7,6
"1012","Getafe","La Liga","Jaime Mata","ESP","FW,MF",11,57,42,49,52,93,87,53,54,22,89,87,77,58,59,88,27,27
"1013","Getafe","La Liga","Borja Mayoral","ESP","FW",92,94,91,92,64,62,66,81,76,30,89,96,77,94,92,82,63,92
"1014","Getafe","La Liga","Luis Milla","ESP","MF",63,31,28,18,5,10,3,32,32,98,89,87,77,14,14,4,45,46
"1017","Getafe","La Liga","Portu","ESP","MF,DF",61,31,49,55,52,30,35,32,32,59,89,87,77,58,59,77,8,8
"1021","Getafe","La Liga","Damián Suárez","URU","DF,MF",64,57,22,18,11,5,3,85,100,66,89,87,77,44,45,95,57,58
"1022","Getafe","La Liga","Enes Ünal","TUR","FW",96,98,98,98,63,84,83,66,58,65,99,100,100,98,94,56,95,94
"1023","Getafe","La Liga","Gonzalo Villar","ESP","MF",15,31,9,18,52,21,28,32,32,70,89,87,77,5,5,10,57,58
"1024","Girona","La Liga","Ricard Artero","ESP","MF,FW",4,31,13,18,28,88,70,32,32,12,89,87,77,23,24,82,35,35
"1025","Girona","La Liga","Santiago Bueno","URU","DF",96,31,45,41,22,10,9,32,32,15,89,87,77,49,50,63,13,13
"1028","Girona","La Liga","Valentín Castellanos","ARG","FW",85,98,98,98,60,91,89,77,72,34,95,94,77,98,98,77,95,94
